index,X,Y,OBJECTID,ID,name,address,city,state,zip,ZIP4,TELEPHONE,type,status,population,county,COUNTYFIPS,COUNTRY,latitude,longitude,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,owner,TTL_STAFF,beds,TRAUMA,helipad
250,-13527979.6278999,5733173.84933402,261,3397031,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,HOOD RIVER,OR,97031,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,25,HOOD RIVER,41027,USA,45.7048319680001,-121.52390863,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-hood-river-memorial-hospital/pages/default.aspx,14-1452,NOT AVAILABLE,41,NON-PROFIT,-999,25,LEVEL III,N
671,-13483097.4779323,5564691.14279772,690,132897741,ST CHARLES - MADRAS,470 NE A STREET,MADRAS,OR,97741,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,JEFFERSON,41031,USA,44.637873733,-121.120725417,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2015/02/13 00:00:00+00,NOT AVAILABLE,14-1473,NOT AVAILABLE,41,NON-PROFIT,-999,-999,LEVEL IV,Y
2758,-13663441.0472381,5681295.97431622,2827,1997062,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,130,CLACKAMAS,41005,USA,45.3784323780001,-122.740779264,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,www.legacyhealth.org,14-1336,NOT AVAILABLE,41,NON-PROFIT,-999,130,NOT AVAILABLE,Y
2759,-13646334.4025314,5677778.63915097,2828,4097045,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,OREGON CITY,OR,97045,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,89,CLACKAMAS,41005,USA,45.356233794,-122.58710766,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-willamette-falls-medical-center/pages/default.aspx,14-1471,NOT AVAILABLE,41,NON-PROFIT,-999,89,NOT AVAILABLE,Y
2760,-13666889.8157882,5702278.13410002,2829,3997225,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,PORTLAND,OR,97225,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,528,WASHINGTON,41067,USA,45.510673873,-122.771760079,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.providence.org/portland/hospitals,14-0912,NOT AVAILABLE,41,NON-PROFIT,-999,528,NOT AVAILABLE,Y
2761,-13689869.0047934,5703678.56976931,2830,6297123,TUALITY COMMUNITY HOSPITAL,335 SE 8TH AVENUE,HILLSBORO,OR,97123,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,215,WASHINGTON,41067,USA,45.5194891790001,-122.978185646,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,www.tuality.org,14-0095,NOT AVAILABLE,41,NON-PROFIT,-999,215,NOT AVAILABLE,Y
2764,-13658622.2524602,5705389.80757969,2833,1897210,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,OR,97210,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,248,MULTNOMAH,41051,USA,45.530259013,-122.697491294,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,www.legacyhealth.org,14-0027,NOT AVAILABLE,41,NON-PROFIT,-999,248,NOT AVAILABLE,N
2765,-13649273.0785694,5704956.72349679,2834,3797213,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,OR,97213,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,400,MULTNOMAH,41051,USA,45.5275335530001,-122.613506236,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-portland-medical-center/pages/default.aspx,14-0012,NOT AVAILABLE,41,NON-PROFIT,-999,400,NOT AVAILABLE,Y
2770,-13681940.6559988,5551161.51064009,2839,4697355,SAMARITAN LEBANON COMMUNITY HOSPITAL,525 N SANTIAM HIGHWAY,LEBANON,OR,97355,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,25,LINN,41043,USA,44.5513269570001,-122.906964077,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.samhealth.org,14-1453,NOT AVAILABLE,41,NON-PROFIT,-999,25,LEVEL IV,Y
3032,-13696090.1312718,5610934.16289971,3103,4497301,SALEM HOSPITAL,"890 OAK STREET, SE",SALEM,OR,97301,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,381,MARION,41047,USA,44.9327093430001,-123.034070976,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,www.salemhealth.org,14-1428,NOT AVAILABLE,41,NON-PROFIT,-999,381,LEVEL II,Y
